0_0	0_0	100.000	249	0	0	1	249	1	249	0.0	514
0_1	0_1	100.000	438	0	0	1	438	1	438	0.0	911
0_1	0_164	99.772	438	1	0	1	438	1	438	0.0	910
0_2	0_2	100.000	589	0	0	1	589	1	589	0.0	1229
0_3	0_3	100.000	630	0	0	1	630	1	630	0.0	1320
0_4	0_4	100.000	416	0	0	1	416	1	416	0.0	867
0_5	0_5	100.000	373	0	0	1	373	1	373	0.0	780
0_5	0_289	38.480	408	204	8	1	371	1	398	7.05e-87	263
0_5	0_125	37.500	400	200	8	17	368	65	462	4.06e-78	243
0_5	0_191	36.981	265	129	4	105	369	5	231	3.08e-48	158
0_5	0_204	31.317	281	159	9	56	310	40	312	8.13e-26	101
0_5	0_292	35.156	128	51	1	148	243	2	129	2.00e-21	84.0
0_5	0_381	35.185	162	75	5	226	371	2	149	3.98e-20	80.9
0_5	0_269	26.103	272	175	8	57	307	35	301	7.74e-18	78.2
0_5	0_347	35.135	148	77	4	225	371	3	132	1.21e-17	75.1
0_5	0_259	29.834	181	87	8	179	325	84	258	1.18e-10	55.8
0_5	0_259	30.392	102	61	3	38	139	25	116	3.91e-04	35.8
0_5	0_121	28.049	164	97	5	52	205	37	189	1.46e-06	42.7
0_6	0_6	100.000	168	0	0	1	168	1	168	6.28e-124	340
0_7	0_7	100.000	577	0	0	1	577	1	577	0.0	1201
0_8	0_8	100.000	354	0	0	1	354	1	354	0.0	735
0_9	0_9	100.000	211	0	0	1	211	1	211	5.12e-156	425
0_10	0_10	100.000	324	0	0	1	324	1	324	0.0	643
0_11	0_11	100.000	123	0	0	1	123	1	123	1.88e-91	254
0_11	0_55	47.692	130	60	2	1	123	1	129	2.87e-33	108
0_11	0_43	47.328	131	60	3	1	123	1	130	7.10e-31	102
0_11	0_142	48.092	131	59	3	1	123	1	130	1.18e-29	99.0
0_11	0_309	47.287	129	60	2	1	122	1	128	8.18e-27	91.7
0_11	0_98	39.450	109	56	3	1	102	1	106	7.37e-25	86.7
0_11	0_197	42.202	109	55	3	1	102	1	108	8.93e-22	79.3
0_11	0_271	37.795	127	65	5	1	119	1	121	2.55e-20	75.1
0_11	0_329	37.008	127	66	5	1	119	1	121	8.91e-20	73.6
0_11	0_291	36.697	109	59	4	1	102	1	106	1.16e-18	70.9
0_11	0_35	34.091	132	76	4	1	122	1	131	2.17e-17	67.8
0_11	0_21	32.576	132	78	4	1	122	1	131	7.22e-17	66.2
0_11	0_37	32.576	132	75	5	1	119	1	131	1.84e-16	65.9
0_11	0_77	33.884	121	61	4	8	121	1	109	9.94e-16	63.2
0_11	0_376	33.846	130	55	3	1	123	1	106	1.06e-15	62.8
0_12	0_12	100.000	430	0	0	1	430	1	430	0.0	893
0_13	0_13	100.000	1068	0	0	1	1068	1	1068	0.0	2210
0_14	0_14	100.000	351	0	0	1	351	1	351	0.0	714
0_15	0_15	100.000	377	0	0	1	377	1	377	0.0	776
0_15	0_341	39.716	282	68	7	1	180	1	282	1.85e-50	166
0_15	0_62	38.828	273	117	11	1	234	1	262	4.28e-42	144
0_16	0_16	100.000	642	0	0	1	642	1	642	0.0	1335
0_17	0_17	100.000	405	0	0	1	405	1	405	0.0	829
0_18	0_18	100.000	285	0	0	1	285	1	285	0.0	584
0_18	0_100	28.767	73	52	0	179	251	162	234	4.75e-07	45.1
0_19	0_19	100.000	355	0	0	1	355	1	355	0.0	737
0_19	0_80	44.776	67	37	0	133	199	70	136	1.90e-13	63.9
0_20	0_20	100.000	701	0	0	1	701	1	701	0.0	1442
0_21	0_21	100.000	132	0	0	1	132	1	132	6.91e-98	272
0_21	0_35	80.303	132	26	0	1	132	1	132	1.94e-80	228
0_21	0_37	77.236	123	28	0	1	123	1	123	1.14e-71	206
0_21	0_291	58.015	131	50	2	1	131	1	126	5.34e-46	140
0_21	0_376	51.145	131	38	3	1	131	1	105	7.24e-40	124
0_21	0_43	51.128	133	59	4	1	131	1	129	4.27e-36	115
0_21	0_142	51.880	133	58	4	1	131	1	129	1.28e-35	114
0_21	0_55	41.353	133	71	5	1	131	1	128	1.11e-26	91.7
0_21	0_329	44.545	110	52	5	1	109	1	102	5.81e-25	87.4
0_21	0_271	43.636	110	53	5	1	109	1	102	2.51e-24	85.5
0_21	0_98	37.500	136	75	6	1	132	1	130	8.47e-24	84.3
0_21	0_197	36.641	131	80	2	1	131	1	128	4.39e-23	83.2
0_21	0_11	32.576	132	78	4	1	131	1	122	7.75e-17	66.2
0_21	0_309	39.552	134	74	5	1	132	1	129	1.62e-16	65.5
0_21	0_77	33.607	122	65	5	10	130	3	109	3.03e-15	62.0
0_22	0_22	100.000	471	0	0	1	471	1	471	0.0	951
0_22	0_342	22.826	460	313	17	31	465	38	480	1.95e-17	79.0
0_22	0_151	27.397	146	96	4	324	465	2	141	9.43e-10	51.6
0_22	0_194	36.364	44	28	0	56	99	208	251	6.00e-04	36.6
0_23	0_23	100.000	392	0	0	1	392	1	392	0.0	811
0_23	0_326	31.624	351	216	9	23	369	48	378	5.33e-50	168
0_23	0_68	27.989	368	226	9	18	370	21	364	1.51e-40	143
0_23	0_154	29.499	339	221	6	58	385	68	399	1.74e-40	143
0_24	0_24	100.000	253	0	0	1	253	1	253	0.0	531
0_25	0_25	100.000	226	0	0	1	226	1	226	2.93e-171	465
0_26	0_26	100.000	109	0	0	1	109	1	109	3.66e-81	228
0_27	0_27	100.000	602	0	0	1	602	1	602	0.0	1239
0_27	0_202	45.312	256	133	5	350	600	958	1211	1.92e-64	224
0_27	0_131	36.626	243	138	8	360	597	65	296	3.80e-40	143
0_27	0_149	30.804	224	144	5	387	601	145	366	5.01e-34	127
0_28	0_28	100.000	216	0	0	1	216	1	216	2.26e-166	452
0_29	0_29	100.000	624	0	0	1	624	1	624	0.0	1296
0_30	0_30	100.000	451	0	0	1	451	1	451	0.0	934
0_30	0_100	33.876	307	195	3	135	439	62	362	2.15e-53	181
0_30	0_214	21.397	229	163	9	157	374	101	323	3.94e-04	37.0
0_31	0_31	100.000	875	0	0	1	875	1	875	0.0	1790
0_32	0_32	100.000	267	0	0	1	267	1	267	0.0	548
0_33	0_33	100.000	806	0	0	1	806	1	806	0.0	1667
0_34	0_34	100.000	424	0	0	1	424	1	424	0.0	861
0_35	0_35	100.000	132	0	0	1	132	1	132	1.67e-96	268
0_35	0_37	95.935	123	5	0	1	123	1	123	5.08e-86	243
0_35	0_21	80.303	132	26	0	1	132	1	132	1.94e-80	228
0_35	0_291	60.305	131	47	2	1	131	1	126	4.02e-48	145
0_35	0_376	50.382	131	39	2	1	131	1	105	4.17e-39	122
0_35	0_43	50.376	133	60	4	1	131	1	129	1.51e-35	114
0_35	0_142	49.624	133	61	4	1	131	1	129	3.13e-34	110
0_35	0_55	45.113	133	66	5	1	131	1	128	1.18e-28	96.7
